# Site info for stations in the Delta.
# xy is in UTM zone 10, epsg:26910. lat-lon is epsg 4269
station_id,agency_id,name,x,y,lat,lon,agency_lat,agency_lon,d1641_id,cdec_id,agency,comment
vol,42,Suisun Slough 300' south of Volanti Slough,583348,4226330,38.18104009,-122.04834337,38.180526,-122.0469582,S42,VOL,dwr_des,On Suisun Sl downstream of Marina that is on Volanti. Believe that the placement is a small pier but here it is nudged slightly instream.
bdl,49,Montezuma Slough near Beldons Landing,590134.7,4227040.1,38.18678539,-121.97077479,38.186785,-121.9707745,S49,BDL,dwr_des,Not confirmed. Moved to pier.
ibs,97,Cordelia Slough at Ibis club,577650.9,4223639,38.15729913,-122.11367839,38.15729922,-122.1136785,S97,IBS,dwr_des,
lis,B91560,Yolo Bypass at Lisbon,623124,4259467.4,38.47503893,-121.58851267,38.47503915,-121.5885124,,LIS,dwr_ncro,
wci,B95338,West Canal near Clifton Court Intake,627243.2,4188117.2,37.83161215,-121.55405518,37.83161222,-121.5540556,,WCI,dwr_ncro,
ori,B95341,Old River near Clifton Court Intake,627377.4,4187715.2,37.82797129,-121.55260140,37.82797167,-121.5526014,,ORI,dwr_ncro,ADCP flow station
rcs,A02939,Ridge Cut Slough at Knight's Landing,610695,4294664.3,38.79378238,-121.72535959,38.79378266,-121.7253592,,RCS,dwr_ncro,
nsl,E33670,Montezuma Slough at National Steel,597451.6,4219938,38.12202663,-121.88821107,38.12202682,-121.8882107,S64,NSL,dwr_ncro,Unusual station code is correct
nsl2,64,Montezuma Slough at National Steel,597451.6,4219938,38.12202663,-121.88821107,38.12222,-121.888694,S64,NSL2,dwr_des,This i
sjl,B95765,San Joaquin River near Lathrop,647576.1,4186166.1,37.81097134,-121.32348204,37.81097104,-121.3234822,,SJL,dwr_ncro,Not confirmed. Moved to pier.
bdt,B95740,San Joaquin River at Brandt Bridge,647500.8,4192114.6,37.86457523,-121.32312404,37.86457483,-121.3231244,,BDT,dwr_ncro,
rri,B95660,Stockton Ship Channel at Burns Cut-off,643575.2,4202944.9,37.96277637,-121.36557768,37.96277611,-121.3655772,,RRI,dwr_ncro,a station house on the very corner of that final boat dock on Rough and Ready.
mru,B95541,Middle River at Undine Road,642052.7,4188617.1,37.83393006,-121.38572552,37.83393039,-121.3857254,,MRU,dwr_ncro,
old,B95380,Old River at Tracy Blvd,636491.6,4185281.5,37.80472590,-121.44952858,37.80472564,-121.4495285,P12,OLD,dwr_ncro,wdl: B95380Q: ADCP station with flow and velocity data. B95380: stage  temp and EC
